strName,strDistrict,strState,chrStatus
673029,KOZHIKODE,KERALA,N
673633,KOZHIKODE,KERALA,N
673572,KOZHIKODE,KERALA,N
673572,KOZHIKODE,KERALA,N
673580,KOZHIKODE,KERALA,N
673573,KOZHIKODE,KERALA,N
673601,KOZHIKODE,KERALA,N
673019,KOZHIKODE,KERALA,N
673011,KOZHIKODE,KERALA,N
673008,KOZHIKODE,KERALA,N
673572,KOZHIKODE,KERALA,N
673010,KOZHIKODE,KERALA,N
673017,KOZHIKODE,KERALA,N
673005,KOZHIKODE,KERALA,N
673005,KOZHIKODE,KERALA,N
673005,KOZHIKODE,KERALA,N
673303,KOZHIKODE,KERALA,N
673577,KOZHIKODE,KERALA,N
673579,KOZHIKODE,KERALA,N
673517,KOZHIKODE,KERALA,N
673508,KOZHIKODE,KERALA,N
673513,KOZHIKODE,KERALA,N
673507,KOZHIKODE,KERALA,N
673544,KOZHIKODE,KERALA,N
673521,KOZHIKODE,KERALA,N
673309,KOZHIKODE,KERALA,N
673517,KOZHIKODE,KERALA,N
673541,KOZHIKODE,KERALA,N
673513,KOZHIKODE,KERALA,N
673513,KOZHIKODE,KERALA,N
673511,KOZHIKODE,KERALA,N
